company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised_(millions$),country,date_added,year,month,quarter,region,layoff_scale,cluster
Smartsheet,Seattle,120.0,2025-10-02,18.0,Other,https://www.geekwire.com/2025/smartsheet-cuts-jobs-shortly-after-departure-of-longtime-ceo/,Post-IPO,152.0,United States,2025-10-06,2025,10,4,North America,Sedang,0
Google,SF Bay Area,50.0,2025-10-02,18.0,Consumer,https://www.sfchronicle.com/tech/article/google-bay-area-layoffs-21081705.php,Post-IPO,26.0,United States,2025-10-06,2025,10,4,North America,Sedang,0
Paycom,Oklahoma City,500.0,2025-10-01,18.0,HR,https://www.oklahoman.com/story/business/information-technology/2025/10/01/paycom-layoffs-2025-workers-replaced-with-ai/86448337007/,Post-IPO,168.0,United States,2025-10-01,2025,10,4,North America,Besar,0
Google,SF Bay Area,100.0,2025-10-01,18.0,Consumer,https://www.cnbc.com/2025/10/01/google-cloud-unit-layoffs.html,Post-IPO,26.0,United States,2025-10-06,2025,10,4,North America,Sedang,0
Simpl,"Bengaluru,Non-U.S.",80.0,2025-10-01,18.0,Finance,https://inc42.com/buzz/bnpl-startup-simpl-lays-off-80-employees-after-rbi-whiplash/,Series B,72.0,India,2025-10-01,2025,10,4,Asia,Sedang,0
Just Eat,"Amsterdam,Non-U.S.",450.0,2025-09-25,5.0,Food,https://www.reuters.com/business/world-at-work/just-eat-lay-off-around-450-employees-partly-automating-operations-2025-09-25/,Acquired,129.0,Netherlands,2025-09-29,2025,9,3,Europe,Sedang,0
GamesKraft,"Bengaluru,Non-U.S.",120.0,2025-09-18,18.0,Consumer,https://inc42.com/buzz/now-gameskraft-lays-off-120-employees/,Unknown,168.0,India,2025-09-25,2025,9,3,Asia,Sedang,0
ZipRecruiter,"Tel Aviv,Non-U.S.",80.0,2025-09-16,18.0,Recruiting,https://www.calcalistech.com/ctechnews/article/pwjukv20s,Post-IPO,769.0,United States,2025-09-16,2025,9,3,North America,Sedang,0
Fiverr,"Tel Aviv,Non-U.S.",250.0,2025-09-15,30.0,Other,https://www.wsj.com/business/fiverr-to-cut-about-250-jobs-in-refocusing-effort-reiterates-guidance-8f15ee4b,Post-IPO,111.0,Israel,2025-09-16,2025,9,3,Asia,Sedang,0
Hike,"New Delhi,Non-U.S.",87.0,2025-09-13,100.0,Consumer,https://techcrunch.com/2025/09/13/hike-once-a-unicorn-shuts-down-as-india-cracks-down-on-real-money-gaming/,Unknown,261.0,India,2025-09-15,2025,9,3,Asia,Sedang,2
xAI,SF Bay Area,500.0,2025-09-12,18.0,AI,https://www.businessinsider.com/elon-musk-xai-layoffs-data-annotators-2025-9,Unknown,22700.0,United States,2025-09-15,2025,9,3,North America,Besar,0
Zupee,"New Delhi,Non-U.S.",170.0,2025-09-11,30.0,Consumer,https://yourstory.com/2025/09/zupee-employees-real-money-gaming-ban-layoffs,Series B,121.0,India,2025-09-15,2025,9,3,Asia,Sedang,0
Atlassian,"Sydney,Non-U.S.",200.0,2025-09-10,18.0,Other,https://www.ziptone.nl/en/nieuws/atlassian-schrapt-200-customerservicebanen-in-nederland-en-frankrijk/,Post-IPO,210.0,Australia,2025-09-18,2025,9,3,Oceania,Sedang,0
Microsoft,Seattle,42.0,2025-09-08,18.0,Other,https://www.bizjournals.com/seattle/news/2025/09/08/microsoft-lays-off-dozens-more-employees-in-wa.html,Post-IPO,1.0,United States,2025-09-08,2025,9,3,North America,Kecil,0
Rivian,Los Angeles,200.0,2025-09-05,1.0,Transportation,https://www.latimes.com/business/story/2025-09-08/rivian-lays-off-employees-new-suv-tax-credits,Post-IPO,10700.0,United States,2025-09-08,2025,9,3,North America,Sedang,0
Scope3,New York City,87.0,2025-09-05,18.0,Energy,https://www.adweek.com/media/scope3-lays-off-sales-staff-ai-agentic-advertising-restructuring/,Series B,45.0,United States,2025-09-08,2025,9,3,North America,Sedang,0
Head Digital Works,"Hyderabad,Non-U.S.",500.0,2025-09-04,18.0,Consumer,https://entrackr.com/news/a23-parent-lays-off-500-employees-following-rmg-ban-report-9901016,Private Equity,74.0,India,2025-09-08,2025,9,3,Asia,Besar,0
Salesforce,SF Bay Area,262.0,2025-09-04,18.0,Sales,https://www.kron4.com/news/bay-area/salesforce-laying-off-262-employees-in-san-francisco-after-ceo-praises-ai/,Post-IPO,65.0,United States,2025-09-08,2025,9,3,North America,Sedang,0
